,baseline,Ndata,chisq,rchisq_bl,rchisq_total
0,total,1406,1795.831819711773,128.66087776293054,1.2772630296669794
1,BR-FD-HN-KP,31,23.914153201231485,0.7714242968139189,0.017008643813109164
2,BR-HN-KP-FD,31,30.4247625588467,0.981443953511184,0.02163923368339026
3,BR-FD-HN-LA,37,25.038032111642657,0.6767035705849367,0.017807988699603598
4,BR-HN-LA-FD,37,28.207092197084435,0.7623538431644442,0.020061943241169583
5,BR-FD-HN-NL,38,41.11459291259506,1.0819629713840804,0.029242242469840012
6,BR-HN-NL-FD,38,34.65208665801459,0.9118970173161735,0.02464586533286955
7,BR-FD-HN-OV,38,34.43206157571316,0.906106883571399,0.024489375231659432
8,BR-HN-OV-FD,38,49.19004201090433,1.2944747897606401,0.034985805128665955
9,BR-FD-HN-PT,38,32.829272723565694,0.8639282295675182,0.023349411609932928
10,BR-HN-PT-FD,38,51.815652401045156,1.363569800027504,0.036853237838581195
11,BR-FD-HN-SC,31,24.15319353637304,0.7791352753668722,0.01717865827622549
12,BR-HN-SC-FD,31,18.99321973391802,0.6126845075457427,0.013508691133654353
13,BR-FD-KP-LA,37,121.26829269779914,3.2775214242648416,0.0862505637964432
14,BR-FD-KP-NL,37,40.5877975636523,1.0969675017203324,0.028867565834745593
15,BR-FD-KP-OV,36,46.00512066123382,1.277920018367606,0.032720569460336996
16,BR-FD-KP-PT,38,31.36118042881688,0.8252942218109706,0.022305249238134338
17,BR-FD-KP-SC,29,30.74351706352273,1.060121278052508,0.02186594385741304
18,BR-FD-LA-NL,47,58.73212553844746,1.2496196923073928,0.041772493270588525
19,BR-FD-LA-OV,47,75.85607941398987,1.6139591364678696,0.05395169232858455
20,BR-FD-LA-PT,47,58.21012992578874,1.2385134026763562,0.041401230388185446
21,BR-FD-LA-SC,33,40.82600602324424,1.237151697674068,0.029036988636731324
22,BR-FD-NL-OV,46,43.013581267335006,0.9350778536377176,0.030592874301091755
23,BR-FD-NL-PT,48,59.1798634810104,1.23291382252105,0.04209094130939573
24,BR-FD-NL-SC,34,33.76460396049154,0.9930765870732806,0.024014654310449177
25,BR-FD-OV-PT,48,144.4215801009644,3.0087829187700916,0.10271805128091352
26,BR-FD-OV-SC,34,34.730747920228154,1.0214925858890633,0.024701812176549185
27,BR-FD-PT-SC,35,32.464846723222834,0.9275670492349382,0.023090218153074563
28,BR-KP-LA-FD,6,5.5039667745742324,0.9173277957623721,0.0039146278624283305
29,BR-KP-NL-FD,6,19.601201649418655,3.2668669415697758,0.013941110703711703
30,BR-KP-OV-FD,5,13.720057024931691,2.744011404986338,0.009758219790136339
31,BR-KP-PT-FD,7,23.352109920988752,3.336015702998393,0.016608897525596553
32,BR-KP-SC-FD,3,1.6454163557975017,0.5484721185991672,0.0011702819031276684
33,BR-OV-PT-FD,1,0.22755914716815664,0.22755914716815664,0.00016184861107265764
34,BR-OV-SC-FD,1,0.07239440930173065,0.07239440930173065,5.1489622547461344e-05
35,BR-FD-HN-MK,25,26.371410328914124,1.054856413156565,0.018756337360536363
36,BR-HN-MK-FD,25,23.77664472791227,0.9510657891164908,0.0169108426229817
37,BR-FD-LA-MK,26,37.88353087323154,1.4570588797396746,0.026944189810264255
38,BR-FD-MK-NL,26,24.00372509809699,0.9232201960806534,0.01707235070988406
39,BR-FD-MK-OV,26,18.01568917273026,0.6929111220280869,0.012813434688997339
40,BR-FD-MK-PT,26,25.73355397525436,0.9897520759713215,0.01830266996817522
41,BR-FD-MK-SC,20,13.933702847397566,0.6966851423698783,0.00991017272218888
42,BR-FD-KP-MK,20,45.63057383936183,2.2815286919680915,0.032454177695136435
43,BR-KP-MK-FD,1,0.5160909901382483,0.5160909901382483,0.0003670632931281994
44,FD-HN-KP-LA,1,1.4299089932810565,1.4299089932810565,0.0010170049738841085
45,FD-KP-LA-HN,1,0.12335932824835498,0.12335932824835498,8.773778680537338e-05
46,FD-HN-KP-MK,1,0.21037874609172338,0.21037874609172338,0.00014962926464560697
47,FD-KP-MK-HN,1,0.8866560735233837,0.8866560735233837,0.0006306230963893199
48,FD-HN-KP-OV,1,7.451926049638325,7.451926049638325,0.005300089651236362
49,FD-KP-OV-HN,1,0.9051980005486685,0.9051980005486685,0.0006438108112010445
50,FD-HN-KP-PT,1,0.49589606908419726,0.49589606908419726,0.00035269990688776475
51,FD-KP-PT-HN,1,0.42921331468974105,0.42921331468974105,0.00030527262780209177
52,FD-HN-LA-MK,7,6.130847781115627,0.8758353973022324,0.004360489175757914
53,FD-HN-LA-OV,7,27.82683572727368,3.9752622467533825,0.019791490559938604
54,FD-HN-LA-PT,7,10.787705407720324,1.541100772531475,0.007672621200370074
55,FD-HN-MK-OV,7,5.3387747499066505,0.7626821071295214,0.0037971370909720133
56,FD-HN-MK-PT,7,2.8971561504307433,0.41387945006153476,0.0020605662520844547
57,FD-HN-OV-PT,7,10.055511866394573,1.4365016951992247,0.0071518576574641345
58,FD-LA-MK-HN,6,10.31261392329758,1.7187689872162633,0.007334718295375234
59,FD-HN-LA-NL,6,8.70388052314062,1.45064675385677,0.006190526687866729
60,FD-LA-NL-HN,6,5.683399760207179,0.9472332933678631,0.004042247340118904
61,FD-LA-OV-HN,6,34.092047452212526,5.682007908702087,0.024247544418358837
62,FD-LA-PT-HN,6,32.72775144659463,5.454625241099105,0.023277205865287788
63,FD-HN-LA-SC,5,5.873568476076932,1.1747136952153865,0.004177502472316453
64,FD-LA-SC-HN,5,8.126601736390759,1.625320347278152,0.005779944335982047
65,FD-HN-MK-NL,6,3.860265320407974,0.643377553401329,0.002745565661741091
66,FD-HN-MK-SC,5,3.0521259089822976,0.6104251817964595,0.002170786563998789
67,FD-HN-NL-OV,6,2.82776765300328,0.47129460883388,0.0020112145469440112
68,FD-HN-NL-PT,6,5.6910413857057165,0.9485068976176194,0.0040476823511420455
69,FD-HN-NL-SC,5,5.453526653175379,1.0907053306350758,0.003878752953894295
70,FD-HN-OV-SC,5,4.148247831223391,0.8296495662446782,0.0029503896381389695
71,FD-HN-PT-SC,5,1.2862658436492294,0.2572531687298459,0.0009148405715855117
72,FD-KP-LA-MK,1,0.06974815882124903,0.06974815882124903,4.9607509830191344e-05
73,FD-LA-MK-KP,1,2.6092128223237654,2.6092128223237654,0.0018557701439002598
74,FD-KP-LA-OV,1,0.29379673340196955,0.29379673340196955,0.00020895926984492856
75,FD-LA-OV-KP,1,0.24324834244674284,0.24324834244674284,0.00017300735593651695
76,FD-KP-LA-PT,1,0.8901558778535591,0.8901558778535591,0.0006331122886582924
77,FD-LA-PT-KP,1,0.5424576675141884,0.5424576675141884,0.00038581626423484243
78,FD-KP-LA-SC,1,0.13727715770626508,0.13727715770626508,9.763666977685995e-05
79,FD-LA-SC-KP,1,0.22808735265464314,0.22808735265464314,0.00016222429065052856
80,FD-KP-MK-OV,1,0.014359507306701885,0.014359507306701885,1.0213020844026946e-05
81,FD-KP-MK-PT,1,1.1618569794132572,1.1618569794132572,0.0008263563153721601
82,FD-KP-MK-SC,1,3.827500061828007,3.827500061828007,0.0027222617793940303
83,FD-KP-OV-PT,1,0.24233920667257455,0.24233920667257455,0.00017236074443284106
84,FD-KP-OV-SC,1,0.5463224760316282,0.5463224760316282,0.00038856506118892475
85,FD-KP-PT-SC,1,0.5011631682155557,0.5011631682155557,0.00035644606558716624
86,BR-LA-OV-FD,6,29.732470670742334,4.955411778457056,0.021146849694695827
87,LA-MK-OV-PT,1,0.20498556575731247,0.20498556575731247,0.00014579343225982395
88,LA-OV-PT-MK,1,9.19198283455609,9.19198283455609,0.0065376833816188406
89,FD-NL-OV-PT,1,0.881478285695073,0.881478285695073,0.0006269404592425839
90,FD-OV-PT-NL,1,3.5370334292409704,3.5370334292409704,0.0025156710023051
91,BR-LA-NL-FD,4,2.4113525010338606,0.6028381252584651,0.0017150444530824045
92,BR-LA-PT-FD,4,5.839257214642905,1.4598143036607263,0.0041530990146820095
